   97:26  error    Hardcoded color '#FFD700' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
   97:37  error    Hardcoded color '#FFA000' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  193:30  error    Hardcoded color '#FF6B6B' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  193:41  error    Hardcoded color '#FF8E8E' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  30:18  error    Hardcoded color '#7c3aed' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  89:18  error    Hardcoded color '#7c3aed' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
   43:18  error    Hardcoded color '#7c3aed' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  106:18  error    Hardcoded color '#7c3aed' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
   24:18  error    Hardcoded color '#7c3aed' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  162:18  error    Hardcoded color '#7c3aed' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  42:22  error  Hardcoded color '#fff' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)     local/no-hardcoded-colors
  48:12  error  Hardcoded color '#000' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)     local/no-hardcoded-colors
  57:22  error  Hardcoded color '#6366f1' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  63:12  error  Hardcoded color '#fff' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)     local/no-hardcoded-colors
